Station ID,Cycle0 (Bef),Cycle0 (Aft),Cycle1 (Bef),Cycle1 (Aft),Cycle2 (Bef),Cycle2 (Aft),Cycle3 (Bef),Cycle3 (Aft)
689,0,0,0,0,0,0,1,-1
690,-1,-1,0,0,0,-1,2,-5
691,1,-1,1,0,0,1,0,2
692,1,0,0,0,0,-1,2,-2
693,1,1,-1,-1,0,0,1,-2
694,0,0,0,0,0,1,0,-1
695,0,1,0,0,1,-7,5,-6
696,0,0,0,0,0,-1,2,0
697,0,0,0,0,1,-2,2,-6
698,-1,-1,0,0,1,-3,3,-4
699,-1,-1,0,0,1,-3,3,-6
700,-2,-1,0,2,-1,0,2,-6
701,0,0,0,0,0,-5,1,-5
702,0,1,0,0,0,-1,2,-7
703,0,1,0,0,-1,-1,-19,-19
704,0,0,-1,-1,0,0,1,-3
706,0,0,0,0,0,4,-3,8
707,0,0,0,0,0,7,-6,9
708,-1,-1,0,0,0,1,0,-1
709,0,0,0,0,0,0,1,-2
710,-1,-1,0,0,0,0,1,-1
711,-1,-1,0,0,0,1,0,-1
712,0,0,0,0,0,-1,2,-5
713,1,0,0,1,0,1,0,2
714,0,0,0,0,0,0,1,-2
715,-1,-1,-1,-1,1,-4,1,-3
716,0,0,0,1,0,-2,3,-6
717,-1,-1,-1,2,0,-3,4,-12
718,0,0,-1,0,1,-3,3,-13
